,timestamp,value
552854,2025-06-21 00:00:02,89.9
552855,2025-06-21 00:00:03,23.8
552856,2025-06-21 00:00:09,0.0
552857,2025-06-21 00:00:16,63.7
552858,2025-06-21 00:00:19,50.6
552859,2025-06-21 00:00:20,21.1
552860,2025-06-21 00:00:23,62.6
552861,2025-06-21 00:00:31,90.3
552863,2025-06-21 00:00:37,45.0
552864,2025-06-21 00:00:38,60.3
552866,2025-06-21 00:00:51,77.0
552867,2025-06-21 00:00:52,30.8
552868,2025-06-21 00:00:55,9.6
552869,2025-06-21 00:01:03,69.8
552870,2025-06-21 00:01:08,68.2
552871,2025-06-21 00:01:09,0.0
552872,2025-06-21 00:01:12,69.4
552873,2025-06-21 00:01:13,64.3
552875,2025-06-21 00:01:21,21.6
552876,2025-06-21 00:01:23,28.8
552877,2025-06-21 00:01:24,0.0
552878,2025-06-21 00:01:26,22.0
552879,2025-06-21 00:01:27,45.8
552880,2025-06-21 00:01:33,92.1
552881,2025-06-21 00:01:35,22.6
552882,2025-06-21 00:01:36,62.9
552884,2025-06-21 00:01:39,42.3
552885,2025-06-21 00:01:41,79.2
552886,2025-06-21 00:01:44,38.5
552888,2025-06-21 00:01:47,27.8
552889,2025-06-21 00:01:48,2375.0
552890,2025-06-21 00:01:50,67.2
552892,2025-06-21 00:01:57,36.7
552893,2025-06-21 00:02:05,59.5
552894,2025-06-21 00:02:11,54.2
552895,2025-06-21 00:02:15,60.0
552896,2025-06-21 00:02:19,15.2
552897,2025-06-21 00:02:20,40.3
552898,2025-06-21 00:02:22,0.0
552899,2025-06-21 00:02:24,0.0
552902,2025-06-21 00:02:34,23.2
552903,2025-06-21 00:02:39,21.0
552905,2025-06-21 00:02:43,27.2
552907,2025-06-21 00:02:50,70.7
552908,2025-06-21 00:02:51,0.0
552909,2025-06-21 00:02:56,8721.5
552910,2025-06-21 00:02:59,48.4
552911,2025-06-21 00:03:03,43.9
552912,2025-06-21 00:03:04,21.4
552914,2025-06-21 00:03:07,80.2
552915,2025-06-21 00:03:08,76.5
552916,2025-06-21 00:03:17,29.4
552917,2025-06-21 00:03:20,67.8
552918,2025-06-21 00:03:21,75.9
552919,2025-06-21 00:03:28,33.9
552920,2025-06-21 00:03:34,62.0
552922,2025-06-21 00:03:41,0.0
552923,2025-06-21 00:03:42,0.0
552924,2025-06-21 00:03:43,39.3
552925,2025-06-21 00:03:45,51.5
552926,2025-06-21 00:03:48,0.0
552927,2025-06-21 00:03:50,99.2
552929,2025-06-21 00:03:54,52.6
552930,2025-06-21 00:04:00,58.4
552931,2025-06-21 00:04:01,95.3
552932,2025-06-21 00:04:02,51.7
552933,2025-06-21 00:04:03,0.0
552935,2025-06-21 00:04:07,78.2
